state,year,enact_year.x,contrib_agri,valueofagsect,pldvpag,govparty_c,st,stateno,state_fips,state_icpsr,agtaxcredit,interstate_compact_on_agricultur,ig_ag,union_density,sals,gagexem,agriculture_ig,agemploy,code300,govparty_a,govparty_b,govparty_b_2,state_midterm_penalty,know_govparty,total_cases,pre_statute_cases,post_statute_cases,pre_statute_liability,pre_statute_equine,enact_year.y
Alabama,2012,2012,165456.5625,886209,NA,NA,AL,1,1,41,NA,NA,19,NA,NA,1,16,394192,NA,NA,NA,NA,NA,NA,5,4,1,1,1,2012
Arkansas,2011,2011,7572.399902,2364600,NA,1,AR,4,5,42,NA,NA,47,4.199999809,NA,NA,31,390132,NA,1,1,1,1,NA,2,1,1,0,0,2011
Colorado,2008,2008,45430,2201212,1,1,CO,6,8,62,NA,1,23,8.100000381,0,1,26,386082,NA,1,1,1,1,NA,6,5,1,2,2,2008
Florida,2013,2013,12500,3903227,NA,NA,FL,9,12,43,NA,NA,66,NA,NA,1,84,420742,NA,NA,NA,NA,NA,NA,1,0,1,0,0,2013
Georgia,2008,2008,415955,3632628,1,0,GA,10,13,44,NA,NA,44,3.700000048,0,1,49,402982,NA,0,0,-1,-1,NA,12,8,4,4,1,2008
Hawaii,2006,2006,113615.8281,353825,0,0,HI,11,15,82,NA,NA,NA,24.799999239999998,0,0,18,376422,NA,0,0,-1,0,87.85,1,1,0,0,1,2006
Idaho,2014,2014,945649.1875,3474435,NA,NA,ID,12,16,63,NA,NA,35,NA,NA,0,54,382972,NA,NA,NA,NA,NA,NA,1,1,0,0,0,2014
Illinois,2006,2006,1128035.125,4137286,1,1,IL,13,17,21,NA,NA,NA,16.5,1,0,48,404832,NA,1,1,1,0,87.46,9,7,2,4,0,2006
Indiana,2011,2011,113057.5,5361440,NA,0,IN,14,18,22,NA,NA,10,11.19999981,NA,NA,30,387142,NA,0,0,-1,-1,NA,9,6,3,1,1,2011
Kansas,2004,2004,238366.9063,3429357,1,1,KS,16,20,32,NA,1,NA,8.5,0,1,NA,392882,NA,1,1,1,1,NA,1,1,0,0,0,2004
Kentucky,2012,2012,95219,2192138,NA,NA,KY,17,21,51,NA,NA,20,NA,NA,1,26,387002,NA,NA,NA,NA,NA,NA,9,7,2,1,0,2012
Louisiana,2008,2008,41400,1292827,1,0,LA,18,22,45,NA,NA,30,4.699999809,0,1,31,380782,0,0,0,-1,-1,NA,18,13,5,1,0,2008
Maine,2012,2012,14550,336062,NA,NA,ME,19,23,2,NA,NA,27,NA,NA,1,21,375632,NA,NA,NA,NA,NA,NA,2,1,1,0,1,2012
Maryland,2018,2018,349778,768451,NA,NA,MD,20,24,52,NA,NA,18,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,2018
Massachusetts,2006,2006,122278.8984,241681,1,0,MA,21,25,3,NA,NA,NA,14.5,1,0,20,381472,NA,0,0,-1,0,90.54,7,5,2,1,0,2006
Michigan,2006,2006,517629.0938,2165296,1,1,MI,22,26,23,NA,NA,NA,19.700000760000002,1,0,37,385292,NA,1,1,1,0,90.79,8,4,4,1,0,2006
Minnesota,2015,2015,2000,8007307,NA,NA,MN,23,27,33,NA,NA,45,NA,NA,1,64,400882,NA,NA,NA,NA,NA,NA,7,5,2,2,1,2015
Mississippi,2012,2012,28950,1842750,NA,NA,MS,24,28,46,NA,NA,18,NA,NA,1,22,388552,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
Missouri,2010,2010,555396.875,3403344,1,1,MO,25,29,34,NA,NA,42,9.899999619,0,1,40,390532,NA,1,1,1,1,NA,2,2,0,0,0,2010
Montana,2009,2009,393494.3438,1077394,1,1,MT,26,30,64,NA,NA,16,13.899999619999999,0,NA,20,376042,0,1,1,1,1,NA,4,4,0,1,0,2009
Nebraska,2015,2015,2400433.5,9766295,NA,NA,NE,27,31,35,NA,NA,24,NA,NA,1,36,393842,NA,NA,NA,NA,NA,NA,5,4,1,2,0,2015
North Carolina,2005,2005,1460324.75,4558579,1,1,NC,33,37,47,NA,NA,NA,3,1,NA,NA,456692,2,1,1,1,1,NA,24,3,21,2,0,2005
North Dakota,2011,2011,54000,3183473,NA,0,ND,34,38,36,NA,NA,26,6.300000191,NA,NA,27,376202,NA,0,0,-1,-1,NA,1,1,0,1,0,2011
Ohio,2016,2016,251602.6875,4972877,NA,NA,OH,35,39,24,0,NA,26,NA,NA,NA,38,399082,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA
Oklahoma,2004,2004,522820.0313,2225654,1,1,OK,36,40,53,NA,NA,NA,6.199999809,0,0,NA,378232,NA,1,1,1,1,NA,0,0,0,0,0,NA
Oregon,2015,2015,1964117.75,2273428,NA,NA,OR,37,41,72,NA,NA,46,NA,NA,0,55,392432,NA,NA,NA,NA,NA,NA,11,6,5,0,0,2015
South Carolina,2010,2010,476779.7813,786815,1,0,SC,40,45,48,NA,NA,17,4.599999905,1,1,10,385072,NA,0,0,-1,0,NA,1,1,0,0,0,2010
South Dakota,2010,2010,94953.0625,3559585,0,0,SD,41,46,37,NA,NA,14,5.599999905,0,1,23,378652,NA,0,0,-1,0,NA,2,2,0,0,1,2010
Tennessee,2009,2009,184476.1406,1058629,1,1,TN,42,47,54,NA,NA,11,5.099999905,1,NA,14,385192,0,1,1,1,1,NA,8,3,5,2,0,2009
Texas,2015,2015,52058.16016,7793533,NA,NA,TX,43,48,49,NA,NA,76,NA,NA,1,103,435682,NA,NA,NA,NA,NA,NA,10,9,1,2,3,2015
Utah,2008,2008,46352.08984,635815,1,0,UT,44,49,67,NA,NA,5,5.800000191,0,1,8,379262,NA,0,0,-1,0,NA,1,1,0,0,0,2008
Virginia,2006,2006,1244105.5,972121,1,1,VA,46,51,40,NA,NA,NA,4.099999905,1,0,22,387582,1,1,1,1,1,82.35,1,1,0,0,0,2006
Washington,2017,2017,758264,4744299,NA,NA,WA,47,53,73,NA,NA,57,NA,NA,NA,62,403502,NA,NA,NA,NA,NA,NA,4,0,4,0,0,2017
West Virginia,2018,2018,18950,88287,NA,NA,WV,48,54,56,NA,NA,11,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,2018
Wisconsin,2014,2014,1277996.125,5177853,NA,NA,WI,49,55,25,NA,NA,43,NA,NA,1,39,397002,NA,NA,NA,NA,NA,NA,9,9,0,2,1,2014
